id_client;Category;Price;Card Type
37;Electronics;72,93;mastercard
38;Jewelry;121,89;mastercard
39;Baby;64,3;mastercard
40;Outdoors;9,48;mastercard
5;Outdoors;61,95;mastercard
6;Outdoors;15,96;mastercard
7;Beauty;149,02;mastercard
8;Games;97,38;mastercard
9;Outdoors;139,96;mastercard
10;Shoes;55,45;mastercard
11;Jewelry;96,16;mastercard
12;Computers;104,93;mastercard
13;Baby;92,52;mastercard
14;Grocery;108,42;mastercard
15;Shoes;144,17;mastercard
16;Computers;5,45;mastercard
17;Sports;5,12;mastercard
18;Games;29,3;mastercard
19;Toys;9,34;mastercard
20;Music;94,53;mastercard
21;Computers;16,72;mastercard
22;Tools;32,56;mastercard
23;Beauty;6,84;mastercard
24;Grocery;10,44;mastercard
25;Clothing;85,65;mastercard
26;Industrial;133,3;mastercard
27;Baby;69,98;mastercard
28;Jewelry;48,58;mastercard
29;Home;142,53;mastercard
30;Industrial;99,03;mastercard
31;Toys;87,62;mastercard
32;Home;141,11;mastercard
33;Books;68,77;mastercard
34;Home;15,12;mastercard
35;Movies;96,45;mastercard
36;Health;123,38;mastercard
37;Home;58,77;mastercard
38;Clothing;117,56;mastercard
39;Clothing;134,15;mastercard
40;Jewelry;53,63;mastercard
41;Books;82,78;mastercard
42;Movies;132,11;mastercard
43;Computers;59,74;mastercard
44;Automotive;105,26;mastercard
45;Shoes;53,56;mastercard
46;Tools;136,53;mastercard
47;Industrial;106,66;mastercard
48;Health;93,46;mastercard
49;Books;147,63;mastercard
50;Kids;145,58;mastercard
51;Shoes;81,44;mastercard
52;Health;64,7;mastercard
53;Beauty;60,66;mastercard
54;Industrial;9,11;mastercard
55;Industrial;100,62;mastercard
56;Books;132,4;mastercard
57;Kids;60,75;mastercard
58;Toys;10,73;mastercard
59;Music;90,98;mastercard
60;Movies;95,97;mastercard
61;Kids;54,04;mastercard
62;Grocery;97;mastercard
63;Beauty;45,49;mastercard
64;Health;99,37;mastercard
65;Games;26,75;mastercard
66;Shoes;85,94;mastercard
67;Jewelry;17,25;mastercard
68;Games;49,82;mastercard
69;Toys;88,43;mastercard
70;Tools;23,53;mastercard
71;Kids;55,81;mastercard
72;Computers;96,65;mastercard
73;Outdoors;64,76;mastercard
74;Shoes;61,25;mastercard
75;Movies;141,32;mastercard
76;Shoes;98,09;mastercard
77;Home;95,54;mastercard
78;Health;53,12;mastercard
79;Computers;64,61;mastercard
1;Outdoors;16,97;mastercard
2;Grocery;143,39;mastercard
3;Music;37,64;mastercard
4;Jewelry;8,51;mastercard
5;Grocery;28,42;mastercard
85;Kids;139,38;mastercard
86;Shoes;123,66;mastercard
87;Books;66,68;mastercard
88;Tools;23,51;mastercard
89;Baby;81,13;mastercard
90;Clothing;66,53;mastercard
91;Music;86,24;mastercard
92;Industrial;45,48;mastercard
93;Outdoors;79,53;mastercard
94;Health;92,86;mastercard
95;Electronics;125,29;mastercard
96;Baby;18,69;mastercard
97;Movies;136,95;mastercard
98;Games;114,69;mastercard
99;Clothing;104,06;mastercard
100;Games;146,54;mastercard
101;Sports;148,59;mastercard
102;Games;25,12;mastercard
103;Kids;33,69;mastercard
104;Electronics;25,48;mastercard
105;Outdoors;45,72;mastercard
106;Outdoors;97,85;mastercard
107;Tools;11,64;mastercard
108;Music;39,52;mastercard
109;Garden;128,48;mastercard
110;Computers;54,2;mastercard
111;Beauty;3,45;mastercard
112;Jewelry;99,85;mastercard
113;Music;65,25;mastercard
114;Movies;12,17;mastercard
115;Tools;32,57;mastercard
116;Industrial;42,22;mastercard
117;Beauty;125,24;mastercard
118;Beauty;70,14;mastercard
119;Baby;134,09;mastercard
120;Health;67,75;mastercard
121;Industrial;105,17;mastercard
122;Home;99,16;mastercard
123;Beauty;96,87;mastercard
124;Toys;29,08;mastercard
125;Movies;148,07;mastercard
126;Kids;0,51;mastercard
127;Industrial;63,15;mastercard
128;Music;137,43;mastercard
129;Electronics;100,18;mastercard
112;Kids;9,12;mastercard
113;Electronics;8,23;mastercard
114;Home;19,31;mastercard
115;Automotive;130,2;mastercard
116;Baby;114,29;mastercard
117;Baby;69,25;mastercard
118;Kids;50,04;mastercard
137;Baby;15,52;mastercard
138;Industrial;29,28;mastercard
139;Tools;31,04;mastercard
140;Baby;2,58;mastercard
141;Beauty;119,12;mastercard
142;Health;138,62;mastercard
143;Games;101,05;mastercard
144;Grocery;9,42;mastercard
145;Grocery;64,39;mastercard
146;Toys;85,19;mastercard
147;Shoes;38,07;mastercard
148;Books;116,73;mastercard
149;Tools;63,01;mastercard
150;Electronics;12,15;mastercard
151;Garden;101,21;mastercard
152;Movies;141,55;mastercard
153;Jewelry;138,11;mastercard
154;Electronics;107,81;mastercard
155;Beauty;133,1;mastercard
156;Computers;93,13;mastercard
157;Beauty;59,81;mastercard
158;Clothing;144,9;mastercard
159;Electronics;83,75;mastercard
160;Toys;62,04;mastercard
161;Music;104,63;mastercard
162;Kids;24,71;mastercard
163;Beauty;118,07;mastercard
164;Tools;62,7;mastercard
165;Outdoors;1,72;mastercard
166;Electronics;114,02;mastercard
167;Electronics;135,37;mastercard
168;Industrial;17,52;mastercard
169;Sports;5,84;mastercard
170;Music;138,49;mastercard
171;Books;35,85;mastercard
172;Automotive;130,08;mastercard
173;Kids;28,38;mastercard
174;Sports;36,35;mastercard
175;Kids;141,71;mastercard
176;Home;15,42;mastercard
177;Beauty;48,98;mastercard
178;Baby;143,16;mastercard
179;Games;63,4;mastercard
180;Music;40,5;mastercard
181;Sports;22,1;mastercard
182;Tools;139,85;mastercard
183;Movies;56,22;mastercard
184;Beauty;3,01;mastercard
185;Music;32,31;mastercard
186;Jewelry;143,78;mastercard
187;Baby;14;mastercard
188;Shoes;37,69;mastercard
189;Sports;126,99;mastercard
190;Outdoors;90,35;mastercard
191;Outdoors;145,23;mastercard
192;Industrial;76,81;mastercard
193;Garden;139,49;mastercard
194;Music;62,52;mastercard
195;Tools;88,32;mastercard
196;Grocery;0,05;mastercard
197;Music;7,86;mastercard
198;Computers;47,01;mastercard
199;Health;78,65;mastercard
200;Shoes;131,44;mastercard
201;Kids;147,38;mastercard
202;Industrial;145,48;mastercard
203;Jewelry;14,46;mastercard
204;Grocery;129,2;mastercard
205;Movies;140,56;mastercard
206;Automotive;103,79;mastercard
207;Baby;22,7;mastercard
208;Shoes;33,57;mastercard
209;Toys;103,24;mastercard
210;Jewelry;105,43;mastercard
211;Sports;3,04;mastercard
212;Games;118,25;mastercard
213;Automotive;17,47;mastercard
214;Electronics;50,17;mastercard
215;Jewelry;145,37;mastercard
216;Movies;130,62;mastercard
217;Jewelry;41,55;mastercard
218;Grocery;10,59;mastercard
219;Sports;143,34;mastercard
220;Computers;109,29;mastercard
221;Garden;118,94;mastercard
222;Kids;51,39;mastercard
223;Kids;99,74;mastercard
224;Clothing;121,61;mastercard
225;Games;39,03;mastercard
226;Kids;42,28;mastercard
227;Computers;56,59;mastercard
228;Kids;21,39;mastercard
229;Tools;12,09;mastercard
230;Automotive;22,49;mastercard
231;Tools;65,05;mastercard
232;Kids;88,78;mastercard
233;Automotive;85,21;mastercard
234;Books;42,98;mastercard
235;Kids;44,04;mastercard
236;Tools;28,33;mastercard
237;Electronics;68,68;mastercard
238;Shoes;35,83;mastercard
130;Kids;128,6;mastercard
131;Shoes;111,91;mastercard
132;Industrial;119,73;mastercard
133;Clothing;113,71;mastercard
134;Outdoors;101,06;mastercard
135;Shoes;42,24;mastercard
136;Jewelry;93,71;mastercard
137;Sports;66,49;mastercard
138;Kids;34,86;mastercard
139;Sports;138,76;mastercard
140;Sports;4,31;mastercard
141;Industrial;143,93;mastercard
142;Sports;44,99;mastercard
143;Shoes;27,43;mastercard
144;Industrial;78,48;mastercard
145;Electronics;43,57;mastercard
146;Automotive;66,52;mastercard
147;Movies;23,51;mastercard
148;Jewelry;5,12;mastercard
149;Movies;4,9;mastercard
150;Games;102,57;mastercard
151;Shoes;112,89;mastercard
152;Home;91,84;mastercard
153;Beauty;88,43;mastercard
154;Beauty;47,89;mastercard
155;Tools;60,42;mastercard
156;Beauty;134,75;mastercard
157;Outdoors;117,02;mastercard
158;Automotive;136;mastercard
159;Grocery;115,03;mastercard
160;Computers;64,25;mastercard
161;Industrial;1,86;mastercard
162;Books;93,91;mastercard
17;Industrial;27,87;mastercard
18;Automotive;116,19;mastercard
19;Computers;3,72;mastercard
20;Kids;36,02;mastercard
21;Outdoors;31,34;mastercard
22;Home;72,98;mastercard
23;Sports;72,91;mastercard
24;Beauty;76,3;mastercard
25;Music;97,94;mastercard
26;Music;77,58;mastercard
27;Baby;129,78;mastercard
28;Electronics;64,54;mastercard
29;Tools;108,82;mastercard
30;Health;51,88;mastercard
31;Toys;68,69;mastercard
32;Kids;68,66;mastercard
33;Industrial;80,97;mastercard
34;Industrial;24,8;mastercard
35;Movies;67,89;mastercard
36;Industrial;55,46;mastercard
37;Home;36,27;mastercard
38;Clothing;83,07;mastercard
39;Home;112,25;mastercard
40;Sports;139;mastercard
41;Beauty;85,16;mastercard
42;Automotive;84,32;mastercard
43;Shoes;35,57;mastercard
44;Home;29;mastercard
45;Automotive;4,34;mastercard
46;Garden;132,73;mastercard
47;Home;78,99;mastercard
48;Grocery;51,27;mastercard
49;Sports;18,23;mastercard
50;Jewelry;128,95;mastercard
51;Garden;53,74;mastercard
52;Computers;66,4;mastercard
53;Games;17,67;mastercard
54;Industrial;13,38;mastercard
55;Baby;41,92;mastercard
56;Home;40,89;mastercard
57;Computers;113,68;mastercard
58;Music;57,67;mastercard
59;Tools;114,58;mastercard
60;Garden;41,34;mastercard
61;Games;7,24;mastercard
62;Grocery;119,74;mastercard
63;Garden;9,11;mastercard
64;Jewelry;142,25;mastercard
65;Grocery;78,53;mastercard
66;Music;63,78;mastercard
67;Grocery;108,03;mastercard
68;Beauty;69,2;mastercard
69;Outdoors;115,34;mastercard
70;Baby;22,68;mastercard
71;Music;125,82;mastercard
72;Jewelry;41,3;mastercard
73;Health;34,88;mastercard
74;Jewelry;11,45;mastercard
75;Beauty;91,49;mastercard
76;Health;19,59;mastercard
77;Garden;94,58;mastercard
78;Computers;140,9;mastercard
79;Clothing;32,87;mastercard
100;Kids;54,37;mastercard
101;Computers;101,07;mastercard
102;Kids;101,98;mastercard
103;Electronics;92,96;mastercard
104;Grocery;87,1;mastercard
105;Movies;102,59;mastercard
106;Health;77,19;mastercard
107;Tools;16,65;mastercard
108;Kids;56,68;mastercard
109;Electronics;57,1;mastercard
110;Tools;77,33;mastercard
111;Clothing;136,63;mastercard
112;Games;28;mastercard
113;Toys;115,39;mastercard
114;Jewelry;45,94;mastercard
115;Beauty;73,73;mastercard
116;Music;31,92;mastercard
117;Beauty;118,85;mastercard
118;Shoes;91,23;mastercard
119;Jewelry;129,51;mastercard
120;Baby;24,97;mastercard
121;Clothing;145,64;mastercard
122;Clothing;46,16;mastercard
123;Books;39,03;mastercard
124;Health;142,63;mastercard
360;Games;21,32;mastercard
361;Grocery;87,23;mastercard
362;Clothing;40,75;mastercard
363;Jewelry;44,32;mastercard
364;Kids;120,42;mastercard
365;Grocery;24,31;mastercard
366;Tools;111,53;mastercard
367;Computers;84,57;mastercard
